"","dateCrawled","name","seller","offerType","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","model","kilometer","monthOfRegistration","fuelType","brand","notRepairedDamage","dateCreated","nrOfPictures","postalCode","lastSeen"
"121400","2016-03-21 07:55:39","Nissan_micra","privat","Angebot",500,"control","",2017,"manuell",0,"micra",150000,8,"benzin","nissan","ja","2016-03-21 00:00:00",0,52388,"2016-03-21 09:39:27"
"176222","2016-03-30 20:51:59","Opel_Astra_1.8_Elegance","privat","Angebot",3100,"control","limousine",2004,"manuell",125,"astra",150000,11,"benzin","opel","nein","2016-03-30 00:00:00",0,52134,"2016-04-07 13:18:06"
"153691","2016-04-02 16:40:43","Renault_Scenic_1.6__tuev__08_17_klima_AHK","privat","Angebot",1299,"control","bus",1999,"manuell",107,"scenic",150000,5,"benzin","renault","nein","2016-04-02 00:00:00",0,63739,"2016-04-02 16:40:43"
"45532","2016-03-07 18:38:39","Kaefer_Dickholmer_Exportmodell_mit_Faltschiebedach._Projektaufgabe","privat","Angebot",5500,"control","",1960,"",0,"kaefer",100000,0,"","volkswagen","","2016-03-07 00:00:00",0,74080,"2016-03-15 00:46:26"
"8347","2016-03-08 23:56:06","BMW_320_Ci","privat","Angebot",5990,"control","cabrio",2001,"manuell",170,"3er",150000,1,"benzin","bmw","nein","2016-03-08 00:00:00",0,94486,"2016-03-20 18:23:47"
"183497","2016-03-06 21:43:52","Opel_sintra","privat","Angebot",1200,"control","bus",1999,"manuell",115,"andere",5000,9,"benzin","opel","nein","2016-03-06 00:00:00",0,85354,"2016-04-07 02:45:38"
"130288","2016-03-06 13:22:00","Mercedes_Benz_814_kipper","privat","Angebot",3250,"test","",1995,"manuell",140,"",150000,5,"","mercedes_benz","","2016-03-06 00:00:00",0,56566,"2016-03-08 19:22:35"
"13956","2016-03-31 19:06:22","Honda_CRX_1.6i_16_VT","privat","Angebot",10999,"control","coupe",1991,"manuell",160,"cr_reihe",150000,4,"benzin","honda","nein","2016-03-31 00:00:00",0,57518,"2016-04-06 12:16:45"
"90830","2016-03-14 23:55:00","Mercedes_Benz_CLK_Coupe_320_Elegance","privat","Angebot",3333,"control","coupe",1998,"automatik",218,"clk",150000,9,"lpg","mercedes_benz","nein","2016-03-14 00:00:00",0,52066,"2016-03-30 23:17:41"
"26223","2016-03-22 19:49:30","Alfa_Romeo_Spider","privat","Angebot",1500,"test","cabrio",1999,"manuell",144,"spider",150000,6,"benzin","alfa_romeo","nein","2016-03-22 00:00:00",0,73266,"2016-03-24 04:19:11"
"139628","2016-03-24 18:37:43","Ford_Focus_von_Erstbesitzer_ab_Juni_2016_zu_verkaufen","privat","Angebot",4800,"test","limousine",2009,"manuell",101,"focus",150000,9,"benzin","ford","nein","2016-03-24 00:00:00",0,99628,"2016-04-07 12:16:38"
"184935","2016-03-28 18:36:39","Ford_Courier","privat","Angebot",1500,"control","kombi",1998,"manuell",90,"andere",150000,4,"benzin","ford","nein","2016-03-28 00:00:00",0,37520,"2016-04-07 00:17:39"
"41980","2016-03-30 11:55:32","Kia_Picanto","privat","Angebot",4490,"test","kleinwagen",2009,"manuell",65,"picanto",30000,6,"benzin","kia","nein","2016-03-30 00:00:00",0,32049,"2016-04-07 03:15:52"
"67682","2016-03-18 18:25:18","Peugeot_206_HDi_eco_70","privat","Angebot",1600,"control","kleinwagen",2006,"manuell",68,"2_reihe",150000,2,"diesel","peugeot","nein","2016-03-18 00:00:00",0,64569,"2016-04-06 10:17:13"
"187282","2016-03-10 19:41:44","Audi_RS5_Abt_300_km/h","privat","Angebot",39999,"control","coupe",2010,"automatik",450,"andere",60000,3,"","audi","nein","2016-03-10 00:00:00",0,63110,"2016-04-06 02:17:44"
"75574","2016-04-03 17:56:12","Sehr_gepflegter_St","privat","Angebot",13999,"test","andere",2008,"manuell",280,"focus",125000,3,"benzin","ford","nein","2016-04-03 00:00:00",0,34466,"2016-04-05 18:17:49"
"149029","2016-04-04 21:59:07","Audi_a4_quattro_TDI","privat","Angebot",0,"test","kombi",2000,"automatik",150,"a4",150000,10,"diesel","audi","ja","2016-04-04 00:00:00",0,66130,"2016-04-07 00:45:24"
"115619","2016-03-25 21:37:25","Zu_verkaufen_oder_gegen_handY__iPhone_s_6","privat","Angebot",750,"test","kleinwagen",1999,"manuell",122,"andere",150000,8,"benzin","ford","","2016-03-25 00:00:00",0,30419,"2016-03-28 23:45:33"
"101864","2016-03-06 14:53:21","Chevrolet_Caprice_Police_Car_LAPD","privat","Angebot",13999,"control","limousine",1994,"automatik",264,"andere",150000,0,"benzin","chevrolet","","2016-03-06 00:00:00",0,44269,"2016-04-06 12:44:46"
"121588","2016-04-05 00:56:16","Audi_A8_4.2_TDI_DPF_quattro_Langversion","privat","Angebot",24500,"control","limousine",2009,"automatik",326,"a8",150000,6,"diesel","audi","nein","2016-04-05 00:00:00",0,58095,"2016-04-07 10:16:59"
"100951","2016-03-05 22:54:09","Opel_Corsa","privat","Angebot",500,"control","kleinwagen",1993,"manuell",45,"corsa",150000,6,"benzin","opel","nein","2016-03-05 00:00:00",0,58739,"2016-03-06 06:42:06"
"111230","2016-03-30 11:47:17","Porsche_911_Turbo_Cabriolet_PDK","privat","Angebot",124990,"test","cabrio",2014,"automatik",521,"911",60000,6,"benzin","porsche","nein","2016-03-30 00:00:00",0,79576,"2016-04-07 02:17:55"
"183311","2016-03-10 23:41:28","Opel_Corsa_1.4_16V_Sport","privat","Angebot",4900,"test","kleinwagen",2007,"manuell",90,"corsa",90000,11,"benzin","opel","nein","2016-03-10 00:00:00",0,64560,"2016-03-25 21:44:45"
"47921","2016-03-05 21:56:43","ford_ka_tuev_faellig_billig","privat","Angebot",550,"test","kleinwagen",2004,"manuell",60,"ka",150000,6,"benzin","ford","nein","2016-03-05 00:00:00",0,31737,"2016-03-12 22:47:13"
"31059","2016-04-03 19:56:39","Volkswagen_Passat_Variant_2.0_TDI_DPF_DSG","privat","Angebot",10999,"test","kombi",2008,"automatik",170,"passat",125000,11,"diesel","volkswagen","nein","2016-04-03 00:00:00",0,73037,"2016-04-05 20:45:37"
"115315","2016-03-26 06:36:18","Kia_Magentis_CDRi___Diesel___Scheckheft___Navi___Klima___TÜV_2017","privat","Angebot",5200,"control","limousine",2008,"manuell",140,"andere",150000,5,"diesel","kia","nein","2016-03-26 00:00:00",0,86167,"2016-04-01 20:17:30"
"181283","2016-04-05 19:25:38","VW_Eos_Cabrio_TOP","privat","Angebot",6300,"control","cabrio",2006,"manuell",150,"fox",125000,4,"benzin","volkswagen","nein","2016-04-05 00:00:00",0,56072,"2016-04-05 19:25:38"
"86167","2016-03-07 15:49:39","Kia_pro_Ceed_1.6_CVVT_EX_Prins_Gasanlage","privat","Angebot",5250,"control","limousine",2008,"manuell",126,"ceed",70000,6,"benzin","kia","nein","2016-03-07 00:00:00",0,45657,"2016-03-12 19:46:52"
"122807","2016-03-27 12:57:43","Renault_Laguna_1.8_//_90_PS_//_ZAHNRIEMEN_NEU...","privat","Angebot",800,"test","limousine",1995,"manuell",90,"laguna",150000,10,"benzin","renault","nein","2016-03-27 00:00:00",0,37154,"2016-04-01 12:46:02"
"22828","2016-03-05 23:56:25","VW_Phaeton_3.0_TDI_4_MOTION","privat","Angebot",9500,"control","limousine",2005,"automatik",224,"phaeton",150000,12,"diesel","volkswagen","nein","2016-03-05 00:00:00",0,22848,"2016-04-06 00:46:22"
"142545","2016-04-02 09:51:34","Renault_Clio_Anfaengerauto_Tuev_1/_18","privat","Angebot",899,"control","kleinwagen",2000,"manuell",0,"clio",150000,1,"benzin","renault","","2016-04-02 00:00:00",0,26901,"2016-04-02 10:43:50"
"104625","2016-03-19 22:37:57","VW_Polo__schnittige_kleinwagen_Tiefergelegt_angemeldet_und_fahrbe","privat","Angebot",400,"test","kleinwagen",1997,"manuell",50,"polo",150000,3,"benzin","volkswagen","ja","2016-03-19 00:00:00",0,73037,"2016-04-05 15:17:16"
"96949","2016-03-23 14:57:50","Renault_Twingo_mit_TÜV_guenstiger_als_Handy_Vertrag","privat","Angebot",699,"test","kleinwagen",2000,"manuell",55,"twingo",150000,4,"benzin","renault","","2016-03-23 00:00:00",0,26160,"2016-03-23 14:57:50"
"111600","2016-03-22 00:58:56","Peugeot_206_2l_16v","privat","Angebot",350,"control","",2000,"manuell",0,"2_reihe",150000,0,"benzin","peugeot","","2016-03-21 00:00:00",0,82276,"2016-03-29 09:45:51"
"185128","2016-03-19 16:38:38","Fiat_500S_1.4","privat","Angebot",6300,"test","kleinwagen",2008,"manuell",100,"500",100000,0,"lpg","fiat","nein","2016-03-19 00:00:00",0,52477,"2016-03-28 19:45:36"
"165391","2016-03-10 20:55:33","Mercedes_Benz_A_170_CDI_Classic","privat","Angebot",1700,"test","limousine",2003,"manuell",95,"a_klasse",150000,3,"diesel","mercedes_benz","nein","2016-03-10 00:00:00",0,67259,"2016-03-12 13:44:54"
"319","2016-03-15 18:50:28","VW_Golf_Plus_DPF_140_PS_Rentnerfahrzeug","privat","Angebot",5500,"control","bus",2006,"manuell",140,"golf",150000,8,"diesel","volkswagen","nein","2016-03-15 00:00:00",0,87656,"2016-04-04 18:45:12"
"14492","2016-03-26 00:46:08","Bmw_e36_323_m_Paket_Tuev_Neu_!!!_02/18","privat","Angebot",2800,"test","limousine",1996,"manuell",170,"3er",150000,4,"benzin","bmw","nein","2016-03-25 00:00:00",0,58809,"2016-04-01 18:22:55"
"58570","2016-03-16 10:51:10","Mercedes_A170_CDI_Elegance_129_000_KM_Original_Automatik_Getribe","privat","Angebot",3550,"control","kleinwagen",2004,"automatik",95,"a_klasse",150000,5,"diesel","mercedes_benz","nein","2016-03-16 00:00:00",0,65558,"2016-03-17 21:29:34"
"139153","2016-04-04 10:40:16","Ford_Mondeo_Turnier_2.0_TDCi_Business_Edition","privat","Angebot",17800,"control","kombi",2014,"manuell",140,"mondeo",30000,9,"diesel","ford","nein","2016-04-04 00:00:00",0,80798,"2016-04-06 11:17:03"
"188799","2016-03-29 23:43:57","Seat_Leon_2.0_TDI_DPF_FR_weiss","privat","Angebot",6500,"control","limousine",2007,"manuell",170,"leon",150000,11,"diesel","seat","nein","2016-03-29 00:00:00",0,94110,"2016-04-06 10:45:03"
"186257","2016-03-06 17:06:18","MINI_Mini_Cooper_Cabrio","privat","Angebot",11800,"control","cabrio",2010,"manuell",120,"cooper",50000,6,"benzin","mini","nein","2016-03-06 00:00:00",0,56412,"2016-03-17 15:17:21"
"134522","2016-03-26 22:57:07","Mercedes_Benz_SLK_200","privat","Angebot",6900,"test","cabrio",2000,"manuell",136,"slk",100000,1,"benzin","mercedes_benz","nein","2016-03-26 00:00:00",0,71263,"2016-04-07 00:44:20"
"113213","2016-03-21 22:40:48","Porsche_911_Carrera_4_Cabrio_/AllradXenon/Scheckheft","privat","Angebot",19990,"control","cabrio",1999,"automatik",300,"",150000,6,"benzin","porsche","nein","2016-03-21 00:00:00",0,9120,"2016-03-27 08:18:04"
"155531","2016-03-30 18:40:15","Volkswagen_Polo_1.2_TDI_Blue_Motion_89g","privat","Angebot",9800,"test","kleinwagen",2012,"manuell",75,"polo",80000,11,"diesel","volkswagen","nein","2016-03-30 00:00:00",0,26129,"2016-04-07 09:44:40"
"44754","2016-03-12 11:55:10","VW_Golf_4_Pacific_Benziner_scheckheftgepflegt","privat","Angebot",1750,"test","limousine",2003,"manuell",75,"golf",150000,7,"benzin","volkswagen","nein","2016-03-12 00:00:00",0,24398,"2016-03-16 12:16:32"
"68555","2016-03-16 14:38:01","Mercedes_Benz_A140","privat","Angebot",1100,"test","",2016,"automatik",0,"a_klasse",150000,0,"benzin","mercedes_benz","","2016-03-16 00:00:00",0,28357,"2016-03-20 12:48:27"
"77206","2016-03-31 22:53:03","Mercedes_Benz_E_200_Kompressor_Automatik_Elegance","privat","Angebot",7000,"test","limousine",2003,"automatik",163,"e_klasse",125000,1,"benzin","mercedes_benz","nein","2016-03-31 00:00:00",0,52080,"2016-04-06 20:48:10"
"173021","2016-03-19 08:51:30","Mercedes_Benz_C_180_T_Classic_Tuev_NEU_3/2018__!!_Tausch_moeglich","privat","Angebot",1400,"test","",2018,"manuell",122,"c_klasse",5000,0,"benzin","mercedes_benz","nein","2016-03-19 00:00:00",0,12057,"2016-03-20 10:49:08"
"96334","2016-03-22 12:50:31","Mercedes_Benz_A_160_Elegance","privat","Angebot",800,"control","limousine",1998,"manuell",102,"a_klasse",150000,3,"benzin","mercedes_benz","nein","2016-03-22 00:00:00",0,56070,"2016-03-22 17:49:06"
"3446","2016-04-03 13:49:58","Mitsubishi_Lancer_1600_GLXi","privat","Angebot",750,"control","limousine",1996,"manuell",113,"lancer",150000,5,"benzin","mitsubishi","","2016-04-03 00:00:00",0,25436,"2016-04-05 12:46:27"
"166718","2016-04-06 20:06:22","Mercedes_Benz_Mercedes_Benz_C200T_CDI_Aut_Avantg_AMG_Harman_Ka","privat","Angebot",9890,"control","kombi",2007,"automatik",136,"c_klasse",150000,12,"diesel","mercedes_benz","nein","2016-04-06 00:00:00",0,65760,"2016-04-06 20:06:22"
"80615","2016-03-16 20:51:36","Audi_A6_Allroad_TDI_Quattro_+_AHK_+_Automatik_+_Navi_Plus_+_xenon","privat","Angebot",6300,"control","kombi",2002,"automatik",0,"a6",150000,10,"diesel","audi","nein","2016-03-16 00:00:00",0,16356,"2016-03-24 15:47:08"
"42408","2016-03-09 22:51:59","BMW_325_Ci_SMG","privat","Angebot",6490,"test","cabrio",2004,"",192,"3er",150000,5,"benzin","bmw","nein","2016-03-09 00:00:00",0,79199,"2016-03-17 15:16:03"
"141593","2016-03-17 00:42:50","Smart_smart_ForFour_Passion","privat","Angebot",2275,"test","kleinwagen",2005,"manuell",75,"forfour",150000,2,"benzin","smart","nein","2016-03-16 00:00:00",0,54568,"2016-03-22 10:17:32"
"46103","2016-03-13 16:43:18","Opel_Astra_1.3_CDTI_DPF_ecoFLEX_Edition","privat","Angebot",6499,"test","limousine",2010,"manuell",95,"astra",150000,6,"diesel","opel","nein","2016-03-13 00:00:00",0,68307,"2016-04-06 17:45:28"
"22514","2016-03-23 12:52:00","Ford_Escort_Cabrio","privat","Angebot",1200,"control","cabrio",1989,"",150,"escort",90000,0,"benzin","ford","","2016-03-23 00:00:00",0,76661,"2016-04-03 13:46:56"
"109137","2016-03-09 11:37:57","Mercedes_Benz_E_220_D_Elegance_Klima_Infrarot_Alarm","privat","Angebot",1600,"test","limousine",1997,"manuell",95,"e_klasse",150000,9,"diesel","mercedes_benz","nein","2016-03-09 00:00:00",0,45896,"2016-03-12 06:44:45"
"75812","2016-03-30 14:53:51","Mercedes_Benz_CLK_Coupe_55_AMG_KOMPRESSOR_520_PS_VMAX_308_KM/H","privat","Angebot",19900,"control","coupe",2004,"automatik",519,"clk",125000,12,"benzin","mercedes_benz","nein","2016-03-30 00:00:00",0,81375,"2016-04-07 05:44:53"
"18971","2016-03-15 21:58:58","Gepflegter_Golf_6_zu_verkaufen","privat","Angebot",6600,"control","limousine",2009,"manuell",80,"golf",125000,5,"benzin","volkswagen","nein","2016-03-15 00:00:00",0,38464,"2016-03-15 21:58:58"
"80833","2016-04-03 17:57:26","Volvo_Andere","privat","Angebot",11444,"test","limousine",1957,"manuell",60,"andere",125000,7,"benzin","volvo","nein","2016-04-03 00:00:00",0,90411,"2016-04-05 18:17:55"
"38485","2016-03-30 17:46:28","Opel_Corsa_City","privat","Angebot",600,"control","kleinwagen",1998,"manuell",54,"corsa",100000,3,"benzin","opel","nein","2016-03-30 00:00:00",0,94151,"2016-04-07 08:44:43"
"12839","2016-04-04 14:46:04","Toyota_RAV_4_2.0_4x4_Multidrive_S_Life","privat","Angebot",19900,"test","suv",2011,"automatik",158,"rav",90000,3,"benzin","toyota","nein","2016-04-04 00:00:00",0,13591,"2016-04-06 16:15:51"
"8017","2016-03-17 17:47:02","Volkswagen_Polo_1.4_TDI","privat","Angebot",3500,"control","kleinwagen",2006,"manuell",0,"polo",150000,11,"diesel","volkswagen","nein","2016-03-17 00:00:00",0,59387,"2016-04-07 03:47:03"
"5580","2016-03-06 12:44:15","VW_Passat_TÜV_10/17","privat","Angebot",800,"test","kombi",1994,"manuell",90,"passat",150000,6,"benzin","volkswagen","","2016-03-06 00:00:00",0,2681,"2016-03-09 14:16:09"
"9982","2016-03-28 13:58:15","Passat_2.0_TDI_DPF_DSG_Highline","privat","Angebot",4000,"test","limousine",2008,"automatik",140,"passat",150000,2,"diesel","volkswagen","nein","2016-03-28 00:00:00",0,81377,"2016-03-28 13:58:15"
"86464","2016-04-04 19:58:08","BMW_320D_Kombi","privat","Angebot",4500,"test","kombi",2006,"manuell",163,"3er",150000,12,"diesel","bmw","ja","2016-04-04 00:00:00",0,97996,"2016-04-04 19:58:08"
"155230","2016-03-18 17:51:24","T5_MULTIVAN_gruene_plakete","privat","Angebot",11500,"test","bus",2003,"manuell",131,"",150000,12,"","volkswagen","nein","2016-03-18 00:00:00",0,65931,"2016-04-06 07:46:01"
"70534","2016-03-25 09:50:57","REISEFERTIG___TOP_GEPFLEGTER_BMW_316i__135_TKM_","privat","Angebot",2950,"test","limousine",1999,"manuell",105,"3er",150000,5,"benzin","bmw","nein","2016-03-25 00:00:00",0,10967,"2016-04-06 08:46:08"
"24312","2016-03-09 15:36:24","Opel_Corsa_1.0__5_Tuerer_schwarz","privat","Angebot",700,"control","kleinwagen",2000,"manuell",54,"corsa",150000,11,"benzin","opel","nein","2016-03-09 00:00:00",0,48301,"2016-03-19 15:16:08"
"10277","2016-03-29 10:25:18","Opel_Vectra_1.8","privat","Angebot",5250,"control","limousine",2007,"manuell",140,"vectra",125000,9,"benzin","opel","nein","2016-03-29 00:00:00",0,57299,"2016-03-30 09:28:14"
"187926","2016-03-19 09:48:41","VW_Golf_2_mit_75_PS_und__Servolenkung","privat","Angebot",1100,"test","kleinwagen",1991,"manuell",75,"golf",125000,4,"benzin","volkswagen","","2016-03-19 00:00:00",0,82211,"2016-03-22 17:45:20"
"33963","2016-03-27 22:54:34","Volkswagen_Golf_Cabrio_1.9_TDI_Colour_Concept","privat","Angebot",1499,"test","cabrio",1998,"manuell",110,"golf",150000,7,"diesel","volkswagen","nein","2016-03-27 00:00:00",0,33034,"2016-04-06 06:17:10"
