company;product;typename;inches;screenresolution;cpu_company;cpu_type;cpu_frequency_ghz;ram_gb;memory;gpu_company;gpu_type;opsys;weight_kg;price_euro
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;AMD;Radeon 530;Windows 10;22;8000
Dell;Latitude 5590;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 8650U;19;80;256GB SSD +  256GB SSD;Intel;UHD Graphics 620;Windows 10;188;12980
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;Nvidia;GeForce 930MX;Windows 10;25;8960
Chuwi;"LapBook 15.6""";Notebook;156;Full HD 1920x1080;Intel;Atom x5-Z8300;144;40;64GB Flash Storage;Intel;HD Graphics;Windows 10;189;24499
Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;140;1366x768;AMD;E-Series E2-6110;15;20;32GB Flash Storage;AMD;Radeon R2;Windows 10;165;1990
HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;173;Full HD 1920x1080;AMD;A6-Series 9220;25;40;500GB HDD;AMD;Radeon 530;Windows 10;271;4390
Dell;XPS 13;Ultrabook;133;Touchscreen / Quad HD+ 3200x1800;Intel;Core i7 8550U;18;160;512GB SSD;Intel;UHD Graphics 620;Windows 10;1,2E+16;18690
Apple;MacBook Air;Ultrabook;133;1440x900;Intel;Core i5;16;80;256GB Flash Storage;Intel;HD Graphics 6000;Mac OS X;135;9980
Lenovo;IdeaPad 120S-14IAP;Notebook;140;1366x768;Intel;Celeron Dual Core N3350;11;40;64GB Flash Storage;Intel;HD Graphics 500;Windows 10;144;2490
Acer;Aspire 3;Notebook;156;1366x768;Intel;Core i3 7130U;27;40;1TB HDD;Intel;HD Graphics 620;Linux;21;3670
Dell;Inspiron 5770;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;28;9790
HP;250 G6;Notebook;156;1366x768;Intel;Core i5 7200U;25;40;1TB HDD;Intel;HD Graphics 620;Windows 10;186;4,8869E+16
HP;ProBook 450;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce 930MX;Windows 10;21;8790
Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 620;Linux;20;3890
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;265;14990
Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;1TB HDD;Nvidia;GeForce 940MX;Linux;23;52299
Acer;Aspire A515-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;40;256GB SSD;Intel;UHD Graphics 620;Windows 10;22;6820
Dell;Inspiron 7773;2 in 1 Convertible;173;Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;120;1TB HDD;Nvidia;GeForce 150MX;Windows 10;277;9990
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;20;80;256GB SSD;Intel;Iris Graphics 540;macOS;137;14190
Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;128GB SSD;Intel;HD Graphics 520;No OS;22;3690
Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD;Ryzen 1700;30;80;256GB SSD +  1TB HDD;AMD;Radeon RX 580;Windows 10;32;12990
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;256GB SSD;AMD;Radeon R5 M430;Windows 10;23;6390
Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;173;1366x768;Intel;Pentium Quad Core N4200;11;40;1TB HDD;Nvidia;GeForce 920MX;Windows 10;28;4660
Lenovo;Yoga Book;2 in 1 Convertible;101;IPS Panel Touchscreen 1920x1200;Intel;Atom x5-Z8550;144;40;64GB Flash Storage;Intel;HD Graphics 400;Android;69;3190
Acer;Aspire A515-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce MX150;Windows 10;22;8410
HP;255 G6;Notebook;156;Full HD 1920x1080;AMD;A6-Series 9220;25;40;256GB SSD;AMD;Radeon R4 Graphics;Windows 10;186;39849
HP;ProBook 430;Notebook;133;Full HD 1920x1080;Intel;Core i7 8550U;18;80;512GB SSD;Intel;UHD Graphics 620;Windows 10;149;11030
Acer;Aspire 3;Notebook;156;1366x768;Intel;Core i3 7100U;24;40;1TB HDD;Intel;HD Graphics 620;Windows 10;24;3840
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon 520;Windows 10;213;7678
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;128GB SSD;Intel;HD Graphics 520;Windows 10;191;4390
Asus;VivoBook Max;Notebook;156;1366x768;Intel;Core i5 7200U;25;40;256GB SSD;Intel;HD Graphics 620;Windows 10;20;58619
MSI;GS73VR 7RG;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  2TB HDD;Nvidia;GeForce GTX 1070;Windows 10;243;24490
Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;256GB SSD;Intel;HD Graphics 520;Linux;20;4150
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;160;256GB SSD +  2TB HDD;AMD;Radeon 530;Windows 10;28;12990
Dell;Vostro 5471;Ultrabook;140;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;17;8790
Dell;IdeaPad 520S-14IKB;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i3 7130U;27;80;256GB SSD;Intel;HD Graphics 620;No OS;17;5990
Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;140;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;HD Graphics 620;Windows 10;14;9410
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;186;6900
Asus;ZenBook Pro;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1050 Ti;Windows 10;18;19830
HP;250 G6;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;500GB HDD;AMD;Radeon 520;Windows 10;186;4,3869E+16
HP;Stream 14-AX040wm;Notebook;140;1366x768;Intel;Celeron Dual Core N3060;16;40;32GB SSD;Intel;HD Graphics 400;Windows 10;144;2290
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;1TB HDD;Intel;HD Graphics 620;Windows 10;19;5490
Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;120;1TB HDD;Nvidia;GeForce GTX 1050 Ti;Linux;30;9490
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel;Core i5 7200U;25;40;128GB SSD;Intel;HD Graphics 620;Windows 10 S;1252;10890
Dell;Inspiron 5370;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon 530;Windows 10;14;9550
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon 530;Windows 10;22;8700
MSI;GL72M 7RDX;Gaming;173;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;27;10950
Acer;Aspire E5-475;Notebook;140;1366x768;Intel;Core i3 6006U;20;80;1TB HDD;Intel;HD Graphics 520;Windows 10;21;3890
Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;22;9490
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;2TB HDD;Intel;HD Graphics 620;No OS;22;5190
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;Intel;UHD Graphics 620;Windows 10;202;8550
Acer;Aspire A515-51G-32MX;Notebook;156;Full HD 1920x1080;Intel;Core i3 7130U;27;40;1TB HDD;Nvidia;GeForce MX130;Windows 10;22;5300
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD +  1TB HDD;Nvidia;GeForce 930MX;Windows 10;25;9770
Dell;Latitude 5590;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;188;109616
Apple;"MacBook 12""";Ultrabook;120;IPS Panel Retina Display 2304x1440;Intel;Core i5;13;80;512GB SSD;Intel;HD Graphics 615;macOS;9,2E+15;15100
HP;ProBook 440;Notebook;140;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;HD Graphics 620;Windows 10;163;8600
Lenovo;IdeaPad 320-15AST;Notebook;156;Full HD 1920x1080;AMD;A6-Series 9220;25;40;128GB SSD;AMD;R4 Graphics;Windows 10;22;3990
Acer;Aspire 3;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;1TB HDD;AMD;Radeon R5;Windows 10;21;3950
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;265;13490
HP;Pavilion 15-CK000nv;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce GTX 940MX;Windows 10;183;6990
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;196;59899
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;22;14490
Dell;XPS 13;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;121;16490
Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;156;Full HD 1920x1080;AMD;FX 9830P;30;80;1TB HDD;AMD;Radeon RX 560;Windows 10;245;6990
Acer;Aspire 5;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;1TB HDD;Nvidia;GeForce MX150;Windows 10;22;6890
HP;Probook 430;Notebook;133;Full HD 1920x1080;Intel;Core i7 8550U;18;160;512GB SSD;Intel;UHD Graphics 620;Windows 10;149;11970
Dell;Inspiron 7577;Gaming;156;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1060;Windows 10;265;11950
Asus;Zenbook UX430UA;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;125;10490
Acer;Spin 5;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;15;8470
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;1TB HDD;AMD;Radeon R5 M430;Linux;22;5999
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;256GB SSD;AMD;Radeon R5 M430;Linux;22;4850
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;156;Full HD 1920x1080;Intel;Core i3 7100U;24;60;256GB SSD;Nvidia;GeForce 920M;Windows 10;20;5770
HP;Omen 15-ce007nv;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;120;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;262;12490
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;AMD;Radeon 530;Windows 10;191;7190
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;156;Full HD 1920x1080;AMD;E-Series E2-9000e;15;40;500GB HDD;AMD;Radeon R2;Windows 10;21;3490
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;AMD;Radeon 520;Linux;22;6470
HP;Envy 13-ad009n;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Nvidia;GeForce MX150;Windows 10;138;11190
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10 S;1252;13400
HP;Pavilion 14-BK001nv;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;60;256GB SSD;Nvidia;GeForce 940MX;Windows 10;158;6590
Lenovo;Ideapad 310-15ISK;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;185;4149
Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;13;11930
MSI;GP62M 7REX;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;22;12990
Lenovo;Thinkpad T470;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;158;14800
Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;160;256GB SSD +  1TB HDD;Nvidia;GeForce MX150;Windows 10;15;12620
Dell;XPS 13;Ultrabook;133;Quad HD+ / Touchscreen 3200x1800;Intel;Core i7 7560U;24;80;256GB SSD;Intel;Iris Plus Graphics 640;Windows 10;123;13790
Lenovo;ThinkPad Yoga;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;137;13990
HP;Probook 440;Notebook;140;IPS Panel 1366x768;Intel;Core i5 8250U;16;40;500GB HDD;Intel;UHD Graphics 620;Windows 10;163;7220
Dell;XPS 13;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;121;16290
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;126;139899
HP;Probook 440;Notebook;140;Full HD 1920x1080;Intel;Core i7 8550U;18;80;512GB SSD;Intel;UHD Graphics 620;Windows 10;163;10840
Dell;Inspiron 7570;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD +  1TB HDD;Nvidia;GeForce 940MX;Windows 10;216;113033
Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;173;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Nvidia;GeForce 920MX;Windows 10;20;5640
Asus;VivoBook S15;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;17;11180
Acer;Spin 3;Notebook;156;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i3 7100U;24;60;1TB HDD;Intel;HD Graphics 620;Windows 10;21;4790
MSI;GS63VR 7RG;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  2TB HDD;Nvidia;GeForce GTX 1070;Windows 10;18;22415
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Nvidia;GeForce 940MX;No OS;22;6290
HP;Probook 470;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;160;512GB SSD;Nvidia;GeForce 930MX;Windows 10;25;12710
Acer;Aspire 3;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;256GB SSD;AMD;Radeon R5;Windows 10;21;4510
HP;250 G6;Notebook;156;1366x768;Intel;Celeron Dual Core N3060;16;40;500GB HDD;Intel;HD Graphics 400;No OS;186;2590
HP;Probook 440;Notebook;140;Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;Intel;UHD Graphics 620;Windows 10;163;8120
Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;140;1366x768;AMD;E-Series 6110;15;40;64GB SSD;AMD;Radeon R2;Windows 10 S;165;27799
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;160;256GB SSD +  2TB HDD;AMD;Radeon 530;Windows 10;28;13960
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;25;9280
Dell;Inspiron 5567;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;1TB HDD;AMD;Radeon R7 M445;Windows 10;236;63899
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;AMD;Radeon R5 M430;Windows 10;22;4490
Acer;Swift 3;Ultrabook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;16;8840
Acer;Aspire A515-51G-37JS;Notebook;156;Full HD 1920x1080;Intel;Core i3 7130U;27;40;256GB SSD;Nvidia;GeForce MX130;Windows 10;22;5720
HP;15-BS078nr (i7-7500U/8GB/1TB/W10);Notebook;156;1366x768;Intel;Core i7 7500U;27;80;1TB HDD;Intel;HD Graphics 620;Windows 10;205;5980
HP;Probook 440;Notebook;140;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;163;9880
Dell;V110-15IAP (N3350/4GB/1TB/No;Notebook;156;1366x768;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;No OS;19;25236
Asus;FX753VD-GC086T (i5-7300HQ/8GB/1TB;Gaming;173;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;30;9380
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;1TB HDD;Nvidia;GeForce 920MX;No OS;22;4,99E+16
HP;Envy 13-AD007nv;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;40;256GB SSD;Intel;HD Graphics 620;Windows 10;132;6990
Acer;Aspire 5;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i3 7130U;27;40;1TB HDD;Nvidia;GeForce MX130;Windows 10;30;6550
Lenovo;ThinkPad E480;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;AMD;HD Graphics 620;Windows 10;175;111602
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050M;No OS;24;8690
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel;Core i5 6200U;23;40;500GB HDD;Intel;HD Graphics 520;Windows 10;21;6020
HP;255 G6;Notebook;156;1366x768;AMD;A6-Series 9220;25;40;256GB SSD;AMD;Radeon R4 Graphics;Windows 10;186;3690
Asus;ZenBook UX430UA;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;125;10990
HP;EliteBook Folio;Ultrabook;125;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core M 6Y75;12;80;512GB SSD;Intel;HD Graphics 515;Windows 10;97;20140
Asus;X541NA (N3350/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;Windows 10;20;3440
MSI;GE72MVR 7RG;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;29;20290
Acer;Aspire A315-51;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;21;4470
Dell;Inspiron 5577;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1050;Windows 10;256;124926
Dell;Inspiron 7567;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1.0TB Hybrid;Nvidia;GeForce GTX 1050;Windows 10;262;8990
Lenovo;V110-15IKB (i5-7200U/4GB/128GB/W10);Notebook;156;1366x768;Intel;Core i5 7200U;25;40;128GB SSD;Intel;HD Graphics 620;Windows 10;19;4980
MSI;GE73VR 7RE;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;28;18900
HP;EliteBook 840;Ultrabook;140;Full HD 1920x1080;Intel;Core i5 7500U;27;40;256GB SSD;Intel;HD Graphics 620;Windows 10;148;10820
HP;15-BS103nv (i5-8250U/6GB/256GB/Radeon;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;60;256GB SSD;AMD;Radeon 520;Windows 10;191;6190
Lenovo;Yoga 520-14IKB;2 in 1 Convertible;140;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i3 7100U;24;40;256GB SSD;Intel;HD Graphics 620;Windows 10;174;6290
Dell;ZenBook Flip;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;HD Graphics 620;Windows 10;11;13150
Dell;Inspiron 5579;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;156;10490
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel;Core i3 6006U;22;40;500GB HDD;Intel;HD Graphics 520;Windows 10;21;4470
