Link;Author;Title;Rating;Text;Date
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;simon-81093;Good sci-fi action;7/10;Better than I was expecting. Most sci-fi fans should like this. Lots of reviewers seem to look too deep and over-analyse. Just sit back and enjoy the ride!;13 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;thomasgabs;Pretty but stupid;3/10;Absolutely gorgeous imagery but there is no coherence to the plot, the whole world the movie is set in is built very weakly from a storytelling perspective and the characters are annoying. This just feel like a joyless cash-grab attempt at starting up a lazy preteen cinematic universe with WAAAY overused cinematic tropes.I do not recommend, save your money for a new pair of headphones or whatever it is you kids are into because that's who this movie is for.;6 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;iamjacksmoviechannel;A Patchwork of Other Movies;4/10;"So Mortal Engines shows just how great it is that we live in a world where an adaptation of a YA novel comes every couple months.Mortal Engines is...a film. Many films actually. Something of a patchwork of films- Mad Max, Star Wars, Waterworld, Howl's Moving Castle. That's just the surface.Here cities have had to load themselves up on tank tracks and roam around an apocalyptic wasteland looking for fuel and food.These gigantic monstrosities adorned with buildings, gardens, roads, and exhaust pipes never feel lived in so much as they're just eyesores.Hugo Weaving is some big higher-up of the city of London, which is just crushing it in the whole devouring other cities thing, and he's just getting started.Hera Hilmar plays Hester, a mopey survivalist seeking revenge on Weaving for killing her mom and scarring up her face, though not as badly as in the book cause you know, you gotta sell the teen lover angle.Robert Sheehan is Tom, the other teen, he looks like a complete puss next to Hester and requires saving constantly.These two encounter quirky, murderous, and freedom-fighting characters, none of which funny or memorable, as they make their way back to the final showdown with Weaving.Of course they fall in love along the way but the movie is so fast-paced and scattered you'd hardly ever recognize they even have chemistry.More problematic than how derivative and frankly joyless this all is is that the only real emotional beats take place in flashbacks I would have rather seen fleshed out than watch the actual movie.The best that could be said for this is that Peter Jackson actually didn't direct it, as the marketing seems to be misleading people to think.That dishonor goes to Christian Rivers, Jackson's storyboard artist, although it's hard to tell what drew either to this. It's a movie where even the special effects seem to be saying ""we could do alot better.""If you like this, check out Craig James Review on Youtube for more";11 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;Mr_mcspicy032;The story itself has some flaws, but overall enjoyable film;6/10;"Pros:
-Gorgeous Visuals
-Steam punk vibe
-Cinematography
-Third act battle sequenceCons:
-Villain/Antagonist motivation is weak and
also its backstory
-Supporting characters are flat
-Unnecessary sub plotsScore:
-2.5/5 Chili PeppersVerdict:
The story itself has some flaws, it has a weak world building. It's antagonist has weak qualities of a good villain where you could hate him in the entire film. The movie also suffers from the lack of good backstory for the supporting characters and some of its protagonist motivation. Some subplots are not needed in the film , it just make the film longer and dragging.";5 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;haydenagain;Not the perfect beginning for the Mortal Engines Quartet like I expected.;6/10;"The clash of urban titans has arrived to the big screen in this latest review for Mortal Engines. Does this movie live up to the book and the lore? Well let's get started.Plot:In a Dystopian future world ruined by an ancient apocalypse, gigantic Mobile Cities now dominant the landscape. Battling each other for survival and remaining resources. While those that choose to avoid it live behind a gigantic wall in eastern Asia called Shan Guao. Drawn together by an unexpected turn of Events, Hester Shaw and Tom Natsworthy are cast out of the Traction City of London into the wastes of the Great Hunting ground. Now must rely on each other to survive. As they find their way back to London, a cybernetic Bounty Hunter begins a relentless manhunt upon them.Likes:Mortal Engines is an epic, innovative and visual fuelled sci-fi adventure never before realised in filmmaking. The designs of the moving cities are really captivating and thoroughly detailed. Especially how London has a lot of striking resemblances to its real-world counterpart.
The special effects and the environment overall are stunning and breath-taking. And the action is thrilling, suspenseful and high-octane from start to finish. I also love how accurately London devours cities, just like how I imagined it in the first chapter. And the film is actually a lot faithful to the novel in terms of characters and setting unlike most other books to film.
The casting choices for the movie are pretty solid such as Hera Hilmar as Hester Shaw, Robert Sheehan as Tom Natsworthy, Hugo Weaving as Valentine and Stephen Lang as the Cyborg Shrike. Who (except for Valentine, see the dislikes below) do stay true to their characters from the novels. Stephen Lang's portrayal of the Cyborg bounty hunter Shrike is probably my biggest highlight. He gives Shrike plenty of good vibe and a sense of humanity and character when most of the others can't really grasp that interest.
But really that's all the good I have to say this film has on a visual aspect. But the Dislikes? Well... they do outweigh the needs of the few.Dislikes:So like I said I have read the book before seeing this movie recently and firstly, it doesn't truly follow the full length of it. The first half is mostly accurate to the book but after the main leads get captured by a slave town and being saved by Anna Fang that's where the story starts getting condensed for time.
From there, it tries to attempt to recreate popular themes and moments that relate too heavily upon Star Wars or Mad Max content. For example the Anti-Traction Leagues final assault on London (Not in the Book) which has a large resemblance to certain scenes in A New Hope and Return of the Jedi. So not an original movie as one was to expect.The book followed three leads. Tom, Hester and Katherine Valentine. Both of them had an equal view of the events that transpire in the novel. But the movie is too concerned about a budget and a long running time to fully adapt everything that it removes the important aspects of the characters and climatic moments witnessed:1.) Katherine doesn't die in the end. Her pet husky, Dog is missing also.2.) London itself doesn't get destroyed by Medusa.3.) Tom and Hester's romance is rarely ever seen and aren't captured by another Town called Tunbridge.4.) Medusa is used first on the Shield Wall and not first used on a German city called Panzerstadt like in the Novel.5.) How Mobile Cities conserve resources for fuel without consuming them too quickly is also left unexplained.
And those were moments that fans of the book remember so well but Christian Rivers and Peter Jackson had missed and that's really shallow. If the movie was 40 minutes longer, then maybe it could have adapted the full story.
A few of the characters from the book are not properly portrayed as I hoped. Mainly with Anna Fang, Valentine and Hester herself. Anna Fang appears to be edgier and distasteful of people from Traction cities than her calm and nicer counterpart. Her personality and lines are a bit mechanical to get any connection to her or her motivations as an Anti-Tractionist.
Thaddeus Valentine is THE main villain instead of Magnus Chrome who both show a sudden switch in personalities where the Mayor despises the use of Medusa and not the latter. And he is much more of a fanatic and a power-hungry dictator and even does cynical Out-of-Character moves like try to bash all of London and its people to their death just to kill A FREAKING WALL? By the way, his plan is stupid. All he boasts about is destroying the Shield Wall and killing Anti-Tractionists. But what's the reason bro? In the movie, London isn't dying like in the book, and seems to run on enough power and resources to keep going on without quarrelling with other cities. So why kill a bunch of normal innocent people anyway regardless? It just feels far too personal to understand. So to put it mildly, his character is too underdeveloped and ludicrously insane to be taken seriously as the villain. But at least Hugo Weaving did well with the material he had to work with anyway.
I wouldn't say Hester Shaw's personality is not much like her counterpart in literature. But it's that small scar on the left side of her jaw that's the problem here. In the books she is described as being a battered sixteen year old girl with a long scar that appears over her left eye, nose and right chin. That is disappointing even from a Hollywood point of view because she could have had that scar easy without having to worry about ruining the actresses' beauty. Or you could just have it cutting over her left side of the face instead no problem. But Jackson, the scar is not strong with this one!
So I hope that wasted too much book to film criticism I included.Verdict?
When push comes to shove, Mortal Engines delivers an all new visual, steam-punked action adventure of survival that does do well to keep faith to its source material. But like most other book-to-film adaptations, it removes too much flow from the story and pacing of the book in order to be congested for time just to strive to compete with the bigger leagues of today's filmmaking world. If Peter Jackson himself was in the director's chair, maybe he could have been able to do better at adapting the movie. But I don't think it would have made much of a difference regardless. In the meantime, it looks like fans may have to wait a little while longer until The Mortal Engines Quartet gets a proper adaption. Hopefully with better results.
I give Mortal Engines a 6/10.";5 May 2019
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;Nimaaa;"Awful Science Fiction Meets ""female power"" Meets Teen Flick.";1/10;"Awful, just awful.I'm not white, so don't discount my account as some white dude's moaning.All the badies are white men. All the good guys are brown/Asian/black/woman.
SpoilerThe plot is essentially West vs East. In the East everything is clean and peaceful and people have rebuilt after a post-apocalyptic war a thousand years earlier. In the West, it's Mad Max territory. People live in cities on wheels and it's a free-for-all. The strong cities take over the weaker ones and the most powerful of all want to take over the East with a ""new"" weapon.I'm Asian myself, but this is so revolting. I can't believe Hollywood has sunk so low. They're trying to cash in on the fashionable SJW trend.";9 February 2019
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;joanedoterceiro;Cringe;1/10;"First 15/20 minutes are somewhat good but then it's eye roll worthy and boring until the end.First, they changed the book story;Second they give you so much info that the plot is absolutly obvious within the first hour ( I didn't read the books, my boyfriend told me after all the damage they did to the original plot) , and then the rest of the movie you're just waiting for it to happen. No plot twists.All the dialogues are cringeworthy, full of cliches and shallow motivational quotes, we never get a hint of anybodys past except the protagonist and that creates a gap of empaty. I wanted to care for the characters but I could feel they were not real.I wanted to leave the cinema within thre first hour because it was so bad. I couldn't take it anymore.";7 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;arabnikita;If you like the trailer, you will like the movie;8/10;Yesterday I got a chance to see the advanced premier screening and was pleasantly satisfied with this movie, considering that I did not even know of its existence before seeing the trailer.The plot is very solid where we get an introduction of what the Mortal Engines and these moving cities are all about, then we get an understanding who the main heroes/villains are followed by some plot development and a grand finale with the possibility of ending the series here and now or continuing following the books.Overall a good movie with great cinematography, interesting plot with potential for the future. There is nothing jaw-dropping or over the top action or deep meaning behind actions. See the trailer to know if this is your kind of movie. If you enjoy the trailer, you will enjoy the movie... as simple as that.;5 December 2018
https://www.imdb.com/title/tt1571234/reviews?ref_=tt_sa_3;mcintoro-57359;Good for a Sunday afternoon;8/10;I actually enjoyed this movie. The idea was good a d the effects were better than I would have thought. A similar theme to star wars if you think of the lo Don as the death star..... All in all a good show.;3 February 2019
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;cdlarsen-41638;I want to gouge out the part of my brain that remembers this movie;1/10;I HIGHLY recommend this movie to anyone who enjoys flying lettuce, terrible acting, giant Oprah in a mermaid costume, or awful confusing plots with terrible direction. Disney - as someone who had to sit through this film I respectfully request that you use your Marvel money to build a time machine and give 2 hours back to any audience forced to see this abomination.;12 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;barbara_4553;So disappointing.;1/10;I ignored the bad reviews and went anyway. Disappointing is probably an understatement. This movie is a disaster. Not only is the acting incredibly awful, especially from some otherwise accomplished cast members, but the original storyline was all but abandoned. I read the book several times, and even I was confused what was going on in this film. There was no explanation for any of the concepts, character development was nonexistent, special effects were plentiful but meaningless. The most fascinating parts of the book were eliminated, or only presented so quickly that it was difficult to understand why they were happening and how they related to the story. This movie could have been SO great - there was incredible potential here, and Disney and the director literally wasted it all.;19 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;BillyFromSoddyDaisy;Strike 2;2/10;"I was excited when this was announced as this was one of my favorite books growing up and I still enjoy re-reading this series. However, I also kept saying ""I hope Disney doesn't screw this up again,"" after the travesty TV version they made in the early 2000s.Lo and behold, they managed to screw it up again.Let's start with the few bright spots (and calling them bright spots is even generous). First, I did enjoy the visual depiction of the tesseract. Also, the casting was pretty good. Storm Reid was well cast as Meg, and Mrs. Who and Mrs. Which were also portrayed well, despite that they drastically downplayed Mrs. Which's character.Now, the bad (and there is a lot of bad). Mrs. Whatsit was changed into a completely negative character who seemed completely inept and pessimistic. Important points in the book (Ixiel and Aunt Beast, for example) were completely ignored and given only cursory mentions so fleeting that you barely even notice it.
The Man with Red Eyes is turned into marionette who literally collapses on screen. I get that in the novel he was a ""puppet"" of IT, but the depiction in the movie was laughable.
The ridiculous storm scene when they first arrive on Camazotz came out of nowhere and was so ridiculously portrayed. First, they're struggling to find Charles Wallace, then they go through this ridiculous storm sequence, and when they make it over this wall (which again, was nowhere in the source material), that concern for Charles Wallace is completely gone until he pops out of nowhere saying ""here I am."" And are Meg and Calvin relieved to see him? Nope. It's more like ""meh, okay.""
The movie completely left out how Calvin and Dr. Murray got back from Camazotz. All of a sudden, they're just back. Poof, no explanation.I get that certain stories require work to adapt: I didn't get particularly outraged with some of the changes ""Prince Caspian"" and ""Voyage of the Dawn Treader"" made in the Narnia series because those were short novels whose structure required adaption to make them cinematic. I wasn't necessarily pleased with all of them, but given the structure of the books, it was understandable that some work had to be done.
""A Wrinkle in Time"" was different. It's a very linear story which already was very cinematic and could easily translate itself from page to screen. But instead of a faithful adaption, the filmmakers decided to ignore 90% of the source material.Strike 2, Disney. You've now screwed this same story up twice.";18 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;hollydcovington;A wrinkled up plot;1/10;I do this review justice when I say shark-nado had a better story line.;24 June 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;jburdimages-1;Do they HATE Madeleine L'Engle?;1/10;"I was speechless after the credits started rolling. The women next to me asked what I thought. I told them some of the crucial, pivotal aspects they had so obviously left out of the film version by choice. It was a fatal mistake and I believe they did it for reasons that directly contradict L'Engle's reason for writing the book in the first place. ""Sounds like we should go read the book."" That was the best message I could offer to anyone else who wants to know about the movie. Forget it. Go read the book. The movie is a hundred-million-dollar backstreet rape, bereft of all magic or joy. This film was made by the creatures of Camazotz and offered at the altar of IT.. 
Such a shame. I really was looking forward to this one. What we got is smply dreadful.";16 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;FanMember;Horrible;1/10;"Watched it on NETFLIX last night with my four grandkids (13, 11, 8 and four). When it was over, I asked ""did y'all like it ?"" In unison all said NO.My husband and I thought it was a complete waste of our time with the kids. It's the first Disney movie I can say ""I hated it.""";22 October 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;springfieldrental;Walked Out--It Was That Bad;1/10;"I very rarely walk out in the middle of a movie. But I did last night about one hour into ""Wrinkle In Time""--and I was glad I did. This film had everything wrong with it, direction, acting, scripting. About the only aspect I found somewhat rewarding was the special effects, which kept me in my seat for at least those 60 excruciating minutes.
Ava DuVernay's direction bordered on amateurish. Her framing was uncomfortably tight in a number of shots. And I've seen more of Oprah's inside of her nose with DuVernay's camera looking up at the giant actress than I care to remember.
The pouting Storm Reid, playing the 13-year-old Meg Murry, was unrelatable as the heroine of the film. And most irritating was her younger brother, Deric McCabe, whose high-pitched voice was barely intelligible. 
Walt Disney Pictures should be ashamed of themselves releasing this complete waste of time. I've seen film school studio projects better produced than this. I hope the paying public avoids this film and sends this film quickly into the trash dump.";17 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;danielliston8;The only reason I gave it 1 star is because I couldn't give it negative stars!!!!;1/10;What a trainwreck, terrible acting, preachy storyline and a poor adaptation of a decent children's story. Recommend this movie to your worst enemy, if revenge is your game.;10 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;kylexile;Horrible!;2/10;This is probably the worst Disney movie I've ever seen. It's also probably the worst movie I've seen this year. The movie for starters is flat out BORING. The majority of the film is people standing around talking, and they aren't talking about anything interesting or that advances the plot in most cases. There's some beautiful imagery here, but then there's also too much green screen and CGI going on that it just loses it's luster. What is the deal with this director also? There were probably 70+ shots inches away from each actors face. It didn't look pretty and was extremely distracting to me. Somehow this director had all of these great actors and couldn't even get anything out of the majority of them. Chris Pine was about the only person that did a good job here. I would not recommend this to anyone. It's unbelievable that this is a film with a budget over $100 million. They should have never even released this travesty.;17 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;samburnee;A rare misfire for Disney;1/10;I had been looking forward to this movie because the trailers made it look like it had potential to be a lot of fun. Unfortunately it lived up to none of that potential. Horrendous acting, insultingly cheesy special effects, confusing directing, and a clumsily written screenplay made for a punitive moviegoing experience. My nephew was bored five minutes in, and I was cringing. I am shocked that Disney released this in theaters. They usually have more respect for their customers.;9 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;ShireenZhu;I am sorry but this is so bad;1/10;"This movie is so bad that I felt compelled to write a review. I did not see any review or trailer and had moderate expectation due to Chris Pine and Reese Witherspoon. Unfortunately, the movie turned out to be a huge NONSENSE. I am sorry but the three kids just don't know how to act. Meg Murry was like""huh......ah......hmm......huh......I don't know... I am not sure....AHAHAH"" throughout the movie; the little boy who acted Charles Wallace was fine but overacting for the most of the time; the teenage boy was just showing ""I am so conscious of my good-looking and I am seducing you"". What the heck?! More importantly, the plot is all over the place and filled with cliche. I am for girl power but this is just so cynical and use girl power as a selling point and nothing else makes sense. Witherspoon and Pine are fine but were eclipsed by this bad screenplay. I am so annoyed even though I watched this movie using Movie Pass. A total waste of 2 hours.";17 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;suekelly-61302;What a waste of time!;1/10;After seeing all the hype by Disney I was looking forward to seeing the movie. It didn't take long for me to wonder why I was still sitting there. I kept waiting for something good to happen. I had gone with a friend and we agreed, waste of money for the ticket and time we couldn't get back.;16 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;docjac-85676;Boring, too slow;1/10;I was excited to watch this movie. High expectations based on all the marketing given to it. It ended up being extremely boring, too slow. No action or great parts at all. The story starts and develops so slow and with nothing exciting to tell. There were moments (if not the entire movie) in which all the magic could be seen as fake and special effect only. The acting for the main character is bad. Very bad. I could tell it was too acted. Really, sad too see such a beautiful story brought too life to become so boring and say nothing at the end of it all.;15 March 2018
https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv;grey_dog;After 50 years of waiting;1/10;"After 50 years of waiting to see one of my favorite childhood books brought to the big screen, I am back to waiting. While the name of the movie was A Wrinkle in Time, the movie itself was something that had died a horrible death, strangled by the need to be diverse and carrying a ""powerful message"" that was hidden in shocked disbelief. The scriptwriter and director clearly did not care about the plot or power that existed in the book (the final battle between Meg and the brain ran chills up my spine in the book, but was actually boring in the movie), but instead focused on a message...and such a message that the ""MESSAGE"" (caps courtesy of the interviews) was more important than the plot, actors and actresses, CGI, conflicts, resolutions or anything else. If you want a ""MESSAGE"" and don't feel like spending time in the religious institution of your choice, I might raise my rating tp 2 stars for you.By the way, if you have never read the book, I suggest you watch the movie, then read the book (that way giving the movie every chance) and then rate the movie.";11 March 2018
