Date,Rating,Review
9.10.2014,5,"My husband and I were blown away by this beautiful hotel and wish we could have stayed much longer than our two nights. Upon our arrival, the hotel set up a lovely display of rose petals on our bed (this was one stop on a 3 week honeymoon in Europe) as shown in my pictures. The staff and bellmen were some of the friendliest and most helpful hotel employees that we have come across in all of our travels. Great bedroom and balcony with a view, excellent location, great gym/spa/pool, and fabulous, fabulous brunch - which was included with our stay! We felt so comfortable and relaxed in Portoroz, and will be recommending this little gem of a town, along with the Kempinski, to anyone traveling in this area! This hotel provided the ultimate relaxation, and was a welcome stop after a few weeks on the road. I hope to be back at some point! Lovely!"
7.10.2014,5,we had a great stay and we stayed at the 'rose suite' room 242 and that was incredibly clever decorated ... much space..beautiful bathroom with bath and shower and a beautiful picture of a rose in the room.. no problems with noise from other rooms as you are here in a corner room and that is perfect..the sleep quality is on a very high level . Please look to my other reviews for the restaurants.. the swimming pool is also very beautiful and more than enough sun loungers..Here you should not fight for a deck chair..place enough.. the service in this hotel is more than ok and of a high standard. so don't hesitate and book. Last tip :book a room in the new part ..I prefer this part...
7.10.2014,5,"Wish I spent more time at this majestic hotel! 1 night stay at this property was flawless. The hotel has 2 buildings — historical and modern one, both facing the Adriatic Sea. Unfortunately there is no drive-in to the main façade entrance and you should drive back the building and enter the hotel from the back. As Wikipedia says the legendary hotel opened on 20 August 1910 at the time of Austro-Hungarian Empire to host rich and famous at Austrian Riviera. Indeed you feel like an Erzherzog on vacation as soon as you step into this palace hotel.Check-in was smooth and the reception girl escorted us to the room. Room at the modern spa building was spacious and luxury furnished. There was a big private balcony with sitting area. Hotel is large and has lots of facilities. First we tried lobby bar at the ground floor with outside seating. It serves the largest Aperol Spritz I have ever seen, 400 ml! Hotel has no beach, but there is a paid Medusa beach opposite the road. But do not waste your time (and money) at this beach — sea is not clean, lots of people, you pay for sun bed, you pay for a towel, every one is smoking and you have to breath this smoke. After the beach we went to the hotel’s spa, the pool and even Jacuzzi had seawater. Shame to me that I came to the beach instead of relaxing at hotel pool area free of charge!There are 2 restaurants at the hotel: contemporary and gourmet. We dined at contemporary one and it was fantastic. Great service, reasonable prices, great food with a clever presentation. I found one dish a bit overseasoned (grilled octopus) and I said that to waiter — don’t take me wrong, the dish was really good, but too much salt to my taste. When the bill arrived they didn’t charge overseasoned dish — it does credit to the hotel. The aftermeal drinks at Piano bar and the first floor were just perfect — the tastiest Belinni I have ever tried.Breakfast next morning was served at great ball room in the historical building with huge windows facing the park in front of the hotel. There were everything you may want for breakfast, difficult to list all the items. The hotel definitely worth every euro I sent there."
6.10.2014,5,"I’ve travelled to nearly 40 counties, and I can honestly say this is one of the most impressive hotels I have ever had the pleasure of staying in. The service is top notch from the moment you pull up to the entrance, and the entire hotel is absolutely gorgeous. We stayed in the modern part (there is also a traditional part) and our huge room had a comfortable bed, lots of storage space, a balcony and a large bathroom. It was also very quiet, which we appreciated. While the room itself was fantastic, the amenities are what you should really come for. There is a stunning outdoor pool as well as an indoor one and a hot tub, and THREE saunas that guests can use! We really enjoyed our time in the spa area, which was the perfect way to spend a rainy day. My husband also took advantage of the fantastic gym, which is something that is usually hard to find in Europe.Breakfast the next morning was also incredible, and the fast, free Wi-Fi was also great. Highly recommended!!!"
1.10.2014,5,"We traveled with 13 couples and stayed at the Kempiniski as we toured Slovenia and Croatia. Everything was excellent. The hotel had a classic feel while the room was new, clean and well appointed. Our corner room was quiet enough that you couldn't hear the church bells ringing but if needed, the porch allowed them to be heard. The breakfast was a great way to start the day with plenty of options and a stunning dining room and luxurious patio. Our experience at the spa was also excellent."
23.09.2014,5,"We stayed at the Kempinski Palace as part of a group tour of Slovenia. Our room was spacious, comfortable, and equipped with all the amenities you'd expect from a high-end hotel. We had a large balcony off of our room overlooking the water. The rooms were quiet and the service was excellent in all areas. The breakfast buffet was outstanding!"
23.09.2014,5,"Superb hotel and great location. Service was excellent. Views spectacular. A mix of modern and classic style its truly a lovely hotel. Staff were attentive and friendly. Breakfast was incredible lots of choice, you could graze all day. Would go back in a heartbeat. Thanks for sending on my left behind camera in such a fast manner, above and beyond."
23.09.2014,4,"We booked this place for a business trip for a few days for 200people.All of us were very delighted about the quality and look&feel of the hotel. Friendly staff and ok food.Nice about the place are the pools (in and outside) and it is located in front of the beach/sea, which allows for a swim in the sea, at a distance of 30sec by foot! Wonderful experience!"
19.09.2014,5,"We want to thank the Kempinski Palace for all the help and friendly smiles when we turned in our SIXT rental car. We were not staying there, but the staff was very helpful in showing us the best way to get to Piran and even calling our hotel to let them know we would be there at a certain time to check-in. Thank you to all that helped and if this is anyway how this hotel is run, it would be a great place to stay."
15.09.2014,5,"The Kempinski Palace is a perfect place to spend few days at this lovely city at Slovenian see. The high standard of Kempinski is guaranteed at this place. The building and rooms are wonderful and it feels modern and traditional at same time. We were at the modern part of the hotel (n237) but I am sure both parts are nice. The breakfast is just perfect - having a good meal outside, almost in the garden is phenomenal. The spa is also fine - we were not supported by the weather but - the sauna place is comfortable and near enough to be in private there and not disturbed by others. This is not the first time in Kempinski for us, but this was one of the best!The staff was great they always try to make your day. (last time Kateryna at reception was so helpful and kindness) Thank you all for your great work there and for the nice ""short"" holiday we had in Slovenia. Thanks."
14.09.2014,5,"Lovely, gorgeous stay.I was here for a wedding in July and stayed for 4 nights.Breakfast on the terrace is a throw back to scenes from the 1800s when lords and ladies dined in such manner. White linens, silver cutlery etc...Clean, modern, wonderful amenities.Classic Kempinski"
12.09.2014,5,"We had an overnight stop here. It was everything you expect - spacious, comfortable room with all amenities and sea view, good service, nice pool and gardens. Good wifi and computer with printer for guest use. It is across the road from the beach."
6.09.2014,5,"Kempinski Palace is by far the best hotel in the area. The Kempinski standards are met in every way. Staff is polite, welcoming and smiling at all times, the rooms are big and comfortable (ours was a superior sea view in the old building) and breakfast buffet was high quality with tons of fruits, meats, fish, cheeses, eggs (made on the spot), cereals, etc. and always fully stocked until 12pm! The saltwater swimming pool is half indoors and half outdoors and is a nice alternative on a hot sunny day since the area does not offer a variety of beautiful beaches. We have tried the Restaurant “Sophia” one night. The environment is elegant and the service impeccable. The wine list was a bit overpriced and the food itself was not to die for. Not value for money according to my opinion. Don’t miss the nearby village Piran. It is gorgeous!!"
1.09.2014,5,"A bunch of us (2 oldies and 5 from 19-25), 7 in all, have just spent 8 nights at this hotel. I'm afraid to say that the coffee at breakfast is not perhaps what it might be. The great news is that absolutely everything else was fabulous. The hotel feels like a palace and we were treated, if not quite like royalty, then something not too far removed. The rooms were extremely comfortable and the view from our room was easily one of the best I have ever had and we are reasonably seasoned travellers. I could go on, but it is the staff who make this a great experience. Faultless, committed and extremely hard working.We had originally planned to go to Trieste for a couple of days, but decided to extend our stay at The Kempinski, as long as we could. And we had been to Trieste before. All 7 of us had a ball.Portoroz itself is ok, but no more than that. However, Piran is easily walkable or runable along the coast path and there is plenty of public transport. Piran is a beautiful medieval town (part of Italy until 1954), that made its money off the back of selling salt to the Venetians. It is worth a number of visits. There are plenty of restaurants of all shapes and sizes around and in fact for those who moan about the cost of meals at the Kempinski, I would suggest you just get out of the hotel a bit. Slovenia may not yet be a culinary centre, but it is definitely on its way."
1.09.2014,4,"Overall very nice and pleasant 5* hotel. Checking experience disappointing-I asked receptionist what I can do in the town/hotel until my room will be ready and the answer was simply ""I don't know"". Next disappointing experience was queueing for 25min. to get fried egg for my breakfast (but it happened only during first day of stay = 26/08/14). Very limited choice during night from room-service restaurant (in most 5* hotels in London 90% of menu is available 24/7)."
30.08.2014,5,"This is a fantastic hotel, old school type, located on a lovely palace right across the Mediterranean sea.The indoor/outdoor swimming poll is very hard to resist, but the Mediterranean just across is also worth a dive.The rooms are specious and impeccably decorated."
30.08.2014,5,"Very pleasant, luxurious and calm hotel. Nice pool, sea very close but private beach for €20. Staff was friendly. Breakfast buffet as shoud be in 5?hotel. Espresso was pretty bad. Rusians everywhere. Restaurants in Portoroz are with same menu and the quality is very different. I do not recommend ""home wine"", the quality is usually quite low."
30.08.2014,4,"We did not stay at this hotel, we only went there in late morning for a cup of coffee. I must say that, although it was still breakfast time and there were hotel guests eating on the terrace, they served us just coffee with no problems. The service was a bit too anxious as three different waitresses came to our table to ask what we would like to have. Nevertheless, the presentation was really appealing, with cappucino served with lovely muffins on the side, and the apple juice we ordered was also very tasty. However, the cappucino foam was rather bland and not very consitent, really lacking in flavour, which was a bit disappointing. The external and interior decor of this establishment is simply stunning - very beautiful."
29.08.2014,5,"As a family of four we booked two rooms [via Inghams] with a preference that they be as close as possible but we were given one room in the old building a one room in the new building. They did however say one of us could move when a room nearer became available but in the event we both liked our different rooms and decided to stay put despite the distance between us [actually it wasn't difficult to move between rooms via the efficient lifts]. One room had a pleasant view of the hill at the rear of the hotel and a bath, the other had a side view and a walk-in shower instead of a bath, and arguably a better balcony but some noise from the road and a not so nice view. Both rooms had huge beds. Only a small bottle of water is provided on arrival and is not renewed. I thought the mini bar prices were steep but then it is a five star hotel. Breakfast is excellent and served on the terrace [though you can opt to eat inside]. The salt water pool was great and we never had a problem finding sun loungers. The hotel does not allow the reserving of loungers all day, towels are removed if the bed has been unattended for three hours. Personally, I thought that the hotel was the best thing about Portoroz but my wife would disagree on that! Certainly Portoroz is better for children than Piran and there is more space to chill out [soak up the sun]. Anyway, if you want a more interesting place, Piran is only 6 minutes away by frequent bus [fare 1Euro 50 cents] or about 15 minutes on the little land train for just a little more. The best place for either is outside the chemist, just to the left of the hotel [as you face it]. Or of course you can walk to Piran along the coast which is an easy 45 minutes stroll. And the hotel has free wifi too. It has a kids club but we never saw it operate. The evening turndown service makes you feel rather special too."
27.08.2014,5,"Definitely one of 5 best hotels I have ever visited. Starting with exterior, really big and dominant building in perfect condition, very nice and clean surroundings.Inside also many clever details like lifts in new building overlooking the spa etc...Spacious De Luxe room in new building with nice balcony overlooking the boulevard and sea. Sleeping quality also high. What I appreciated a lot, was food. No matter if breakfast or dinner, always amazing taste and quality. Of course staff was exceptional in every department, but after several Kempinski stays I finally realized that this is just their standard :)Beach Club Meduza (exclusive beach club for Kempinski guests) is not necessary due to big public beach just across the street, where you can rent umbrella and 2 beds for 17Euro per day. The beach high season occupation is max 50% so no crowd anywhere. If you stay with kids, they appreciate sandy beach and shallow water entrance here. Medusa has only grass and pier so no fun for kids.Another ""visit again Kempinski"" just have been found :)"
25.08.2014,4,"We have not stayed in Kempinski but had few lunches and dinners there. The food is always excellent, some combinations are rather unusual but all tasted nice. The staff was very attentive and their knowledge of wines was really second to none in Slovenia so far. it is not cheap but if you want to eat somewhere stylish and have really nice food, this is the place to go."
23.08.2014,5,"The hotel is fabulous, the best and most luxurious in Portoroz and Piran, Kempinski knows their thing. However, if you come during summer months, make sure to ask for a room at the back of the hotel overlooking the parking because the bars outside play very loud music until 1am which can be heard with the windows and blinds closed. The hotel has 2 sides: the oldest (but refurbished) side and the new one which has bigger rooms which are very cool and a tad kitsch. Very recommended!"
17.08.2014,5,"My girlfriend and I stayed for a week vacation at the Kempinski Portoroz. We give 5 stars plus! This is one of the best hotel experiences we have ever had. The highlights for us: - The rooms are spacious, modern, and comfortable. The bathrooms are also a good size. The balcony is spacious. We stayed in the modern part. We loved the room. To add to that, the maid service was always excellent.- The hotel looks like a true palace. It is elegant and luxurious. It is a beautiful sight from outside and every detail is attended to inside.- The hotel concierge Kristijan and his team especially Micha and Peter are professional, caring, and go above and beyond. They took care of us from start to finish so a special thanks! In fact, all the staff were excellent.- Breakfast! The included hotel breakfast from 7-12 has an incredible offering EVEN champagne. Was worth it every morning. If you get Room service, try the Palace Club Sandwich.- Spa: we had a great couple's massage. Was worth every Euro.- Pool: this is one of the best hotel pools we have experienced. Not too crowded, adequate but not overbearing service, comfortable temperature in the salt water pool, jacuzzi, etc. Great to lay out in the sun and relax all day.- the town of Portoroz and surrounding area. Piran is a romantic, beautiful town just 5 minutes away. We also found the drive down the Croatian coast worth the trip.The only points of feedback we have:- the restaurant Sophia left a little to be desired. We enjoyed a romantic dinner in a lovely setting but the guest chef's tasting menu was not up to what we were expecting. We suggest RiziBizi, half way between the hotel and Piran instead.- We were overcharged for parking - but when we asked it was quickly corrected.- the beach in Portoroz is really nothing special. For tourists used to a nice beach, this is NOT it. But we found that the hotel pool as well as beaches in Croatia made up for this. This is obviously not the hotel's fault.Thanks again to the entire staff. This hotel is worth it and we would stay again!"
14.08.2014,5,Didn't stay at the hotel but went for a drink on the terrace which was exceptional. My mom said the martini was the best she has ever had and she has been to a lot of places. I just thought it had merit for a review. Thanx
14.08.2014,5,"Could not fault this hotel in any way, everything is done with great attention to detail and to very high standards. Staff are fantastic, charming and welcoming. We'd single out Carmen on reception and Allen who served drinks pool side, who were particularly friendly and helpful. We went for a three night break and had two rooms in the old part of the building with a park view, which was all very pleasant. We enjoyed night caps in the bar on the terrace and would recommend their house cocktail a Kempinski no.1. Pool and spa suite were great but one of the highlights was the amazing breakfast on the terrace."
10.08.2014,4,"The Kempinski is a beautifully restored historical hotel linked to a modern annex. Rooms in the annex (where I stayed) are spacious, comfortable and well appointed. They have a large balcony facing the ocean and the pool. As another reviewer said, staff were very professional and not pompous. Breakfast buffet offered a variety of cold and hot dishes. Internet connection worked perfectly. It is very well located and there is a bus stop to Piran right in front of the hotel. On the negative side, I would alert guests that the saltwater swimming pool is a bit small for the number of guests and may be hard to find a place in the sun. Parking is not free either. And, although it is a beach resort, there is no beach service in the hotel. So if you really want to go to the beach you must use the beach club opposite (which you also have to pay for)."
9.08.2014,5,"What a pleasant surprise to be upgraded from a Deluxe Sea View to an absolutely amazing Suite in the new section of the hotel! The staff were very professional yet friendly (not pompous - thank you!), the suite and terrace was breathtaking, location excellent, has secure parking (understatement!), and the list goes on....This was my first visit and I'd love to return in the future. Keep up the good work!"
2.08.2014,5,"Overall this is a good choice if you want to feel pampered on holiday! We had a room facing the park on the fourth floor and were quite happy with this choice. We did find it strange though that all the balconies only had one chair on them. The other minus points are lack of daily complimentary bottle of water, no tea/coffee-making facilities, and the chage for parking. The pool is really good - you can actually swim in it. The breakfast is by far the best we've ever had. I doubt if we'd return because Portoroz itself is not the ideal holiday venue for us and I'm not 100% convinced that the price the hotel charges is totally warranted. During our midweek stay at the end of July there was no entertainment - everything seemed to be organised for weekends or August."
1.08.2014,5,"Great staff, nice rooms and suites. As GHA members, we got upgrade from room to suit and were very happy with big terrace and two separate rooms. There is big indoor and outdoor pool with sea water, and it is really super, because there is no good beach in Portoroz (my opinion). The only one minus - the bars and restaurants outside of hotel are very noisy.Inside the hotel is very quiet.We are coming to this hotel very often and can recommend it to everyone."
30.07.2014,5,"For a luxury traveler ""best hotel and best value"" often don't go hand in hand but I am happy to say that this is the case at the Kempinski Palace Portoroz. Great location, lovely gardens, nice selection of restaurants (all with good food) and BEAUTIFULLY renovated rooms. Everything is so luxurious- the gorgeous marble bathrooms, the sumptuous fabrics, the deep and cozy beds... I could go on but you get the picture and no detail has been missed. I kept looking around wondering how they could make money with such a wonderful property charging so little. In most world beach resorts you'd pay much more for much less. I can hardly wait to go back and highly recommend the property. Pay extra for a room with a view of the water- so worth it."
21.07.2014,5,"the quality, service and accommodation live up to the 5* standards, perfectly located in the centre of Portorozthe breakfast choice is amazing as well as the hotel pool and its facilitiesthe only things I'd complaint about is the wallet parking which i do not personally like cause I feel much comfortable parking my car on my own and the beach service in nearby meduza clubit's little ridiculous that it's not included in room rate but you have to pay extra 20 euros per day per person also the service at the reception was little slow considering we arrived in June (during peak season)otherwise I'd definitely recommend the hotel"
19.07.2014,3,"We booked a suite at the last minute for a couple of days in high season at a pretty high price tag. We had been used to very good Kempinski service in Munich and other locations during an extended European driving vacation so we had anticipated a similar experience in Portoroz.Our ""Rose Suite"" overlooking the pool was smallish but Ok for the price and season.At check-in we found the suite to be plagued with a heavy musty/spicy odour so we asked for a replacement room. No alternate rooms were available so after a few hours we were satisfied that housekeeping was able to remedy the smell.After returning to our room while waiting for it to be freshened up and wanting a fresh shower we were surprised to discover no soap in the suite and a towel shortage. Later, in the midst or an international call and needing to jot down some notes, I find no paper or pen in the desk.Calls to the front desk resolved each of these issues in very short order but still a disappointment at this price point.Also, no waters were provided at bed turn-down which is very, very disappointing in a hotel suite of this calibre and price. Otherwise we found the property very much to our liking.Note that the sea view rooms at the front of the hotel may be exposed to some late night party noise from the beach bars across the street."
18.07.2014,5,"In het Nederlands gezegd: ik was echt wel fantastisch blij met de service. I was delighted. People worked in the hotel as if it wat their own. People were disciplined, OK, but they kept their own style. Staff was devoted to Kempinsky while staying who they are and serving us as a client in the best possible way. Especially Simona from the massage and Theresa from the Stradivaria rock concept struck us. But above all, Bori, from Hungaria, the most exciting waitress we ever met as a family, wat a real experience. How she managed to serve the intrest of the hotel, combine that with a personal touch towards the client (us) and stay authentic in the woman she is, enthousiastic about what she does and in te mean time customizing the service to the client: waw. She is representative to the feeling we (myself, my wife and my three children (22 , 19 and 16 years old) have of Kempinsky and the Slovenian way of treating customers: great. Thank you all."
14.07.2014,5,"the hotel is positioned by the beach > We were in the modern art and had a very sumptious ""garden view"" as there were no sea view rooms available at the time. The room and the public areas are excellent. tso problems: the promised WI FI in the room did not work and on a busy day our room was not made by 2 pm. They made it when we left for dinner. Breakfast was very generous and pleasant to eat out on the terrace. The staff are friendly and very helpful. We stayed there for 5 nights and enjoyed our syay immensely"
10.07.2014,5,"We had a fabulous week at the Palace hotel. We were in the new section ,on the second floor with a large ,well equipped room facing the sea and overlooking the pool area and the Fleur de Sel restaurant. We ate in that restaurant twice and whilst they were the most expensive meals of our holiday,the food and service were faultless. We always took breakfast in the Chandelier room which is magnificent - lovely high ceilings ,stuccoed walls . You could imagine royal balls taking place there in the past ! Most people took breakfast on the Terrace, which ,whilst lovely, meant a long trek to the buffet. Having said that the breakfast selection was massive and of very high quality.We did feel that a lot of space is underused -especially the Chandelier room. It should be the premier room of the hotel,not for a few people at breakfast. Reception staff were very helpful. We particularly enjoyed taking pre dinner drinks n one of the balconies off the piano room on the mezzanine floor(facing the sea. )I'm glad we chose this hotel which ticked all the right boxes"
8.07.2014,5,The property and staff were amazing. The breakfasts were delicious. The views from our room great. The rooms were well spacious and well appointed. The bed linens were mediocre. Would definitely go back again.
8.07.2014,4,For birthday present i got to spend a weekend in Kempinski. We had a lovely room in the new side of the hotel. The rooms are very spacius and lovely decorated with an view to the Slovenian see. The weather was realy nice so we enjoyed every single minute in Portoroz. The breakfast choice was very big and the dining area is beautiful. Staff is nice and very helpful. For sure one of the best hotel in Portoroz.
25.06.2014,5,"We had a week in the Kempinski and loved it! Now back to work, back home walking the dog in the rain, cooking my own food and making my own bed, I appreciate the luxury we enjoyed all the more.The hotel consists of the original. sumptuously fitted out building with a new extension attached which contains the spa and pool as well as some upgraded rooms with large balconies and a restaurant with outdoor balcony.We had a deluxe park view room, in the new part, which was huge with a wrap around balcony containing pots of scented jasmin. The bathroom was pretty spacious and the service was indeed impeccable with rooms serviced twice a day. Breakfast was typical of what I've seen in 5 stars with the addition of Slovenian bubbly available with fresh strawberries which is a great way to start the day! The crystal room is beautiful. There was a private function when we were there and when we passed the chandeliers glittered and the glasswork shone like something you see in a movie.We ate in the Sophia restaurant (twice) and we had a table set up on the lawn after a glass of champage in Bubbles. The whole experience was so special thanks to the excellent staff. The food in the hotel was easily the best we had over the week.How can I last until my next visit?!!!!"
25.06.2014,5,"Stayed there for 3 nights past week.Hotel is managed excellent.It is truely the best Slovenian hotel, but there are still things to be corrected:-at breakfast we got dry croissants,-there were tree leafs in the pool at same place for all 3 days- also some dirt around the pool-waitors at pool were slow as snails-ordered freshly squeezed orange juice at poll and got some mixture little fresh and artificial one-still missing hotel sea beach--last day some problems with bad room cleaningOtherwise everthing else is perfect....All in all still 9 out of 10...Please do smth. on things mentioned, I am coming back this year."
24.06.2014,5,"well, that is the Hotel. and that is what a 5-stars hotel should be. good location, though across the street from the sea. impeccable service, brilliant interiors. we had a huge suit with an even more spacious terrace with a jacuzzi right on the terrace. the pool area is also very nice. the gym is tiny, surprisingly tiny for such a large building, but the rest was so marvelous, that this small gym wasn't a big deal"
24.06.2014,3,"We have stayed 3 nights in this Kempinski Hotel. The price of the hotel would be okay, if you would get, what you have payed for.While checking in, we have experienced many problems, which are shocking for this kind of property. We have explicitely booked room with balcony and sea view. We have been told upon arrival, that there are no rooms with balcony available. How can this happen, if you book and pay your room in advance?! How can Kempinski sell the rooms, if they don't have them? After almost 1 hour of trying to find sollution, we have been given a room on 1st flor with ""trees view"" and something they call ""french balcony"" about 50cm wide. No chairs, no table. So you cannot enjoy the view. But who cares, on 1st floor there's no view at all anyways. This was a huge disapointment, as I know, they had more rooms available, as our friends arrived later, and have been given an upgrade to suites with 2 balconies on 3rd floor! I felt really cheated. Other weird thing - we have asked to provide an iron, to iron some shirts we needen, they told us, its not possible and we were forced to give them to house keeping and payed about 40 Euro for few shirts and pair of jeans to get pressed. I kind of hoped, they will not charge us for this after messing up our reservation and giving us crap rooms, but I was mistaken.Other room facilities are okay, rooms are properly cleaned. Pool and wellness area very small! Breakfast was okay, but if you are eating on the terrace, and leave your table for a minute or two to get some more stuff, the birds will make a mess on your table immediately.I wouldn't stay here again, Not only the hotel cheated us, but did not offer any compensation at all. I am very disapointed by Kempinski Palace in Portoroz, as they do not live up their standards they are famous for."
20.06.2014,5,I spent 4 days in thih Hotel. The rooms are great. They are paying attention to a small details. Every few hours somebody is coming to clean a room. The position off the hotel is great because is situated in the old part of the town. The employers should smile more and talk more languages but they were ok.The spa is small but cute.The food is great. 
9.06.2014,5,"We've spend 4 days in Kempinski Palace Portoroz 3 weeks ago. Everything was amazing, from the start, when we've entered the hotel, procedure for registration was very short, girl on the reception desk very kind and we were upgraded to the lagoon apartment on the top floor, with stunning view over the sea. Apartment has 2 rooms, one big toilet, small wc, very spacious antre and the best part...approximately 80m2 terrace with jacuzzi. Service in the hotel is absolutely amazing, breakfast excellent, atmosphere in the hotel very nice and calm...really great experience, we are coming again for sure..."
